log_id,card_id,timestamp,attempt_count,status
L0,C117,2026-04-12 21:49:32.056684,2,success
L1,C101,2026-04-17 23:06:32.056701,2,success
L2,C147,2026-04-18 07:55:32.056707,3,failed
L3,C132,2026-04-19 06:36:32.056711,4,failed
L4,C118,2026-04-13 00:01:32.056714,2,success
L5,C111,2026-04-16 13:01:32.056716,3,failed
L6,C142,2026-04-18 22:59:32.056719,1,success
L7,C113,2026-04-15 13:14:32.056722,3,failed
L8,C113,2026-04-14 22:45:32.056724,1,success
L9,C134,2026-04-14 20:01:32.056727,3,failed
L10,C112,2026-04-16 06:44:32.056730,3,failed
L11,C132,2026-04-17 11:38:32.056732,2,success
L12,C100,2026-04-17 19:54:32.056735,4,failed
L13,C135,2026-04-14 19:58:32.056737,1,success
L14,C103,2026-04-17 17:33:32.056740,2,success
L15,C138,2026-04-18 01:19:32.056742,2,success
L16,C124,2026-04-13 23:50:32.056744,3,failed
L17,C110,2026-04-12 18:54:32.056747,3,failed
L18,C148,2026-04-18 02:44:32.056749,2,success
L19,C114,2026-04-17 12:19:32.056752,3,failed
L20,C126,2026-04-12 14:44:32.056755,1,success
L21,C116,2026-04-15 05:31:32.056758,1,success
L22,C127,2026-04-13 01:21:32.056760,1,success
L23,C139,2026-04-13 19:18:32.056762,1,success
L24,C129,2026-04-14 20:40:32.056765,2,success
L25,C104,2026-04-16 14:44:32.056767,1,success
L26,C129,2026-04-15 06:47:32.056770,3,failed
L27,C114,2026-04-15 05:23:32.056773,2,success
L28,C134,2026-04-13 01:39:32.056775,1,success
L29,C135,2026-04-16 04:23:32.056778,1,success
L30,C145,2026-04-12 17:27:32.056780,1,success
L31,C108,2026-04-15 13:46:32.056782,1,success
L32,C133,2026-04-14 10:43:32.056785,1,success
L33,C104,2026-04-15 09:21:32.056787,2,success
L34,C111,2026-04-12 18:58:32.056790,1,success
L35,C118,2026-04-16 03:04:32.056794,1,success
L36,C121,2026-04-17 05:19:32.056797,4,failed
L37,C140,2026-04-18 20:42:32.056799,1,success
L38,C123,2026-04-19 00:06:32.056802,2,success
L39,C140,2026-04-17 20:38:32.056804,1,success
L40,C107,2026-04-15 07:44:32.056807,1,success
L41,C139,2026-04-19 09:13:32.056809,1,success
L42,C128,2026-04-13 01:12:32.056812,3,failed
L43,C114,2026-04-13 15:33:32.056814,4,failed
L44,C106,2026-04-16 05:03:32.056816,2,success
L45,C147,2026-04-15 08:02:32.056818,1,success
L46,C118,2026-04-13 15:09:32.056820,1,success
L47,C101,2026-04-17 22:33:32.056823,1,success
L48,C136,2026-04-14 22:16:32.056825,2,success
L49,C120,2026-04-14 09:34:32.056827,3,failed
L50,C125,2026-04-16 04:02:32.056829,2,success
L51,C133,2026-04-18 00:14:32.056831,3,failed
L52,C120,2026-04-14 16:12:32.056833,2,success
L53,C103,2026-04-18 07:46:32.056836,2,success
L54,C114,2026-04-17 18:51:32.056838,1,success
L55,C112,2026-04-18 14:38:32.056840,1,success
L56,C145,2026-04-15 22:02:32.056843,2,success
L57,C130,2026-04-19 08:35:32.056845,1,success
L58,C114,2026-04-16 02:23:32.056848,2,success
L59,C144,2026-04-17 10:10:32.056850,2,success
L60,C115,2026-04-17 15:20:32.056852,1,success
L61,C116,2026-04-15 01:33:32.056854,1,success
L62,C115,2026-04-14 19:39:32.056856,1,success
L63,C149,2026-04-18 05:45:32.056858,3,failed
L64,C106,2026-04-16 04:08:32.056861,1,success
L65,C108,2026-04-16 22:38:32.056863,3,failed
L66,C146,2026-04-18 16:59:32.056865,2,success
L67,C102,2026-04-19 10:55:32.056868,1,success
L68,C118,2026-04-14 01:46:32.056870,1,success
L69,C108,2026-04-15 18:10:32.056872,3,failed
L70,C105,2026-04-15 07:29:32.056874,1,success
L71,C147,2026-04-15 22:57:32.056876,1,success
L72,C102,2026-04-16 12:26:32.056879,3,failed
L73,C144,2026-04-16 16:35:32.056881,1,success
L74,C115,2026-04-13 10:23:32.056883,1,success
L75,C129,2026-04-14 10:44:32.056885,1,success
L76,C107,2026-04-15 15:56:32.056887,1,success
L77,C112,2026-04-16 10:20:32.056890,2,success
L78,C146,2026-04-15 08:01:32.056892,2,success
L79,C109,2026-04-12 17:57:32.056894,3,failed
L80,C129,2026-04-16 03:18:32.056896,1,success
L81,C104,2026-04-13 15:30:32.056905,1,success
L82,C114,2026-04-14 23:15:32.056908,1,success
L83,C137,2026-04-13 06:08:32.056910,1,success
L84,C126,2026-04-14 14:16:32.056912,1,success
L85,C110,2026-04-19 05:59:32.056917,2,success
L86,C141,2026-04-13 03:36:32.056920,4,failed
L87,C138,2026-04-15 22:51:32.056927,2,success
L88,C129,2026-04-13 02:44:32.056930,1,success
L89,C139,2026-04-17 01:46:32.056933,3,failed
L90,C100,2026-04-19 00:23:32.056935,2,success
L91,C124,2026-04-18 18:25:32.056937,2,success
L92,C106,2026-04-13 10:45:32.056940,2,success
L93,C100,2026-04-17 09:15:32.056943,1,success
L94,C125,2026-04-13 17:34:32.056945,1,success
L95,C106,2026-04-13 15:53:32.056948,1,success
L96,C124,2026-04-19 06:52:32.056950,1,success
L97,C125,2026-04-18 02:20:32.056953,1,success
L98,C116,2026-04-15 11:47:32.056955,2,success
L99,C107,2026-04-13 04:41:32.056958,3,failed
L100,C134,2026-04-17 08:42:32.056960,1,success
L101,C117,2026-04-16 17:02:32.056963,1,success
L102,C124,2026-04-15 14:19:32.056965,1,success
L103,C147,2026-04-13 20:15:32.056967,1,success
L104,C130,2026-04-18 19:47:32.056970,1,success
L105,C123,2026-04-19 11:40:32.056972,1,success
L106,C138,2026-04-14 17:49:32.056975,3,failed
L107,C109,2026-04-19 02:44:32.056977,2,success
L108,C124,2026-04-16 08:30:32.056980,4,failed
L109,C142,2026-04-16 11:28:32.056982,1,success
L110,C137,2026-04-14 15:47:32.056985,3,failed
L111,C106,2026-04-19 03:38:32.056987,1,success
L112,C117,2026-04-14 11:42:32.056990,1,success
L113,C106,2026-04-16 18:21:32.056992,2,success
L114,C132,2026-04-18 23:06:32.056997,1,success
L115,C133,2026-04-16 18:08:32.056999,3,failed
L116,C141,2026-04-16 13:18:32.057001,2,success
L117,C118,2026-04-18 13:39:32.057003,1,success
L118,C121,2026-04-18 04:08:32.057005,2,success
L119,C104,2026-04-17 11:13:32.057008,1,success
L120,C138,2026-04-14 08:37:32.057010,2,success
L121,C125,2026-04-14 06:58:32.057012,1,success
L122,C119,2026-04-12 15:12:32.057015,4,failed
L123,C118,2026-04-16 02:52:32.057017,1,success
L124,C101,2026-04-14 13:53:32.057019,1,success
L125,C141,2026-04-18 20:40:32.057022,2,success
L126,C118,2026-04-14 07:06:32.057024,3,failed
L127,C111,2026-04-13 12:06:32.057026,2,success
L128,C133,2026-04-13 10:15:32.057028,2,success
